insisting,(VBZ is),is,CLOBTH_A.TXT
boycotting,(VBZ is),is,CLOBTH_A.TXT
attending,(VBN revealed),revealed,CLOBTH_A.TXT
attending,(VBZ has),has,CLOBTH_A.TXT
seeking,(VBP are),are,CLOBTH_A.TXT
studying,(VBP are),are,CLOBTH_A.TXT
having,(VBZ is),is,CLOBTH_A.TXT
paying,(VBZ is),is,CLOBTH_A.TXT
denouncing,(VBD were),were,CLOBTH_A.TXT
dealing,(VBP are),are,CLOBTH_A.TXT
making,(VBZ is),is,CLOBTH_A.TXT
beginning,(VBZ is),is,CLOBTH_A.TXT
holding,(VBP are),are,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
going,(VBD were),were,CLOBTH_A.TXT
visiting,(VBD were),were,CLOBTH_A.TXT
happening,(VBP are),are,CLOBTH_A.TXT
going,(VBZ is),is,CLOBTH_A.TXT
doing,(VBZ is),is,CLOBTH_A.TXT
studying,(VBZ is),is,CLOBTH_A.TXT
committing,(VBP are),are,CLOBTH_A.TXT
attending,(VBP are),are,CLOBTH_A.TXT
celebrating,(VBZ is),is,CLOBTH_A.TXT
holding,(VBP are),are,CLOBTH_A.TXT
basing,(VBP are),are,CLOBTH_A.TXT
trying,(VBP are),are,CLOBTH_A.TXT
having,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
leading,(VBZ is),is,CLOBTH_A.TXT
talking,(VBZ is),is,CLOBTH_A.TXT
striving,(VBP are),are,CLOBTH_A.TXT
striving,(VBZ is),is,CLOBTH_A.TXT
changing,(VBD were),were,CLOBTH_A.TXT
recommending,(VBD were),were,CLOBTH_A.TXT
being,(VBP are),are,CLOBTH_A.TXT
working,(VBN been),been,CLOBTH_A.TXT
working,(VBZ has),has,CLOBTH_A.TXT
being,(VBP are),are,CLOBTH_A.TXT
working,(VBP are),are,CLOBTH_A.TXT
signalling,(VBD were),were,CLOBTH_A.TXT
spending,(VBP are),are,CLOBTH_A.TXT
going,(VBZ is),is,CLOBTH_A.TXT
becoming,(VBZ is),is,CLOBTH_A.TXT
pouring,(VBP are),are,CLOBTH_A.TXT
saying,(VBZ is),is,CLOBTH_A.TXT
going,(VBP am),am,CLOBTH_A.TXT
going,(VBP am),am,CLOBTH_A.TXT
budging,(VBP am),am,CLOBTH_A.TXT
trying,(VBP are),are,CLOBTH_A.TXT
playing,(VBZ is),is,CLOBTH_A.TXT
recovering,(VBZ is),is,CLOBTH_A.TXT
creating,(VBZ is),is,CLOBTH_A.TXT
setting,(VBZ is),is,CLOBTH_A.TXT
getting,(VBZ is),is,CLOBTH_A.TXT
retiring,(VBZ is),is,CLOBTH_A.TXT
settling,(VBP are),are,CLOBTH_A.TXT
preparing,(VBP are),are,CLOBTH_A.TXT
staying,(VBZ is),is,CLOBTH_A.TXT
visiting,(VBN been),been,CLOBTH_A.TXT
visiting,(VBZ has),has,CLOBTH_A.TXT
looking,(VBZ is),is,CLOBTH_A.TXT
giving,(VBZ is),is,CLOBTH_A.TXT
going,(VBZ was),was,CLOBTH_A.TXT
picnicking,(VBP are),are,CLOBTH_A.TXT
expecting,(VBZ is),is,CLOBTH_A.TXT
expecting,(VBZ is),is,CLOBTH_A.TXT
hoping,(VBD were),were,CLOBTH_A.TXT
giving,(VBZ is),is,CLOBTH_A.TXT
allowing,(VBZ is),is,CLOBTH_A.TXT
going,(VBZ is),is,CLOBTH_A.TXT
going,(VBP are),are,CLOBTH_A.TXT
going,(VBN been),been,CLOBTH_A.TXT
going,(VBZ has),has,CLOBTH_A.TXT
having,(VBD were),were,CLOBTH_A.TXT
playing,(VBD were),were,CLOBTH_A.TXT
screaming,(VBN been),been,CLOBTH_A.TXT
eating,(VBN been),been,CLOBTH_A.TXT
taking,(VBP are),are,CLOBTH_A.TXT
going,(VBP 're),'re,CLOBTH_A.TXT
doing,(VBN been),been,CLOBTH_A.TXT
*+acking,(VBZ is),is,CLOBTH_A.TXT
coming,(VBD were),were,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
travelling,(VBD were),were,CLOBTH_A.TXT
growing,(VBZ is),is,CLOBTH_A.TXT
wandering,(VBD were),were,CLOBTH_A.TXT
labouring,(VBN been),been,CLOBTH_A.TXT
being,(VBP are),are,CLOBTH_A.TXT
striving,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
going,(VBP are),are,CLOBTH_A.TXT
prophesying,(VBN been),been,CLOBTH_A.TXT
prophesying,(VBZ has),has,CLOBTH_A.TXT
having,(VBZ is),is,CLOBTH_A.TXT
offering,(VBP are),are,CLOBTH_A.TXT
backing,(VBD were),were,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
spending,(VBZ is),is,CLOBTH_A.TXT
falling,(VBD were),were,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
becoming,(VBZ is),is,CLOBTH_A.TXT
belittling,(VBZ is),is,CLOBTH_A.TXT
working,(VBN been),been,CLOBTH_A.TXT
preparing,(VBN been),been,CLOBTH_A.TXT
asking,(VBP are),are,CLOBTH_A.TXT
saying,(VBP are),are,CLOBTH_A.TXT
appealing,(VBP are),are,CLOBTH_A.TXT
setting,(VBZ is),is,CLOBTH_A.TXT
going,(VBD were),were,CLOBTH_A.TXT
shooting,(VBN been),been,CLOBTH_A.TXT
shooting,(VBZ has),has,CLOBTH_A.TXT
going,(VBZ is),is,CLOBTH_A.TXT
having,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
washing,(VBN been),been,CLOBTH_A.TXT
washing,(VBZ has),has,CLOBTH_A.TXT
seeking,(VBP 'm),'m,CLOBTH_A.TXT
talking,(VBP are),are,CLOBTH_A.TXT
showing,(VBZ is),is,CLOBTH_A.TXT
moving,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
putting,(VBP are),are,CLOBTH_A.TXT
decrying,(VBP are),are,CLOBTH_A.TXT
covering,(VBP are),are,CLOBTH_A.TXT
forming,(VBZ is),is,CLOBTH_A.TXT
racing,(VBP are),are,CLOBTH_A.TXT
meeting,(VBZ is),is,CLOBTH_A.TXT
doing,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
building,(VBN been),been,CLOBTH_A.TXT
doing,(VBP are),are,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
going,(VBP are),are,CLOBTH_A.TXT
defending,(VBZ is),is,CLOBTH_A.TXT
trailing,(VBD were),were,CLOBTH_A.TXT
fuming,(VBD were),were,CLOBTH_A.TXT
going,(VBD were),were,CLOBTH_A.TXT
battling,(VBD were),were,CLOBTH_A.TXT
going,(VBP 'm),'m,CLOBTH_A.TXT
going,(VBP 'm),'m,CLOBTH_A.TXT
going,(VBP 'm),'m,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
taking,(VBZ is),is,CLOBTH_A.TXT
putting,(VBZ is),is,CLOBTH_A.TXT
putting,(VBZ is),is,CLOBTH_A.TXT
taking,(VBZ is),is,CLOBTH_A.TXT
staying,(VBZ 's),'s,CLOBTH_A.TXT
searching,(VBD were),were,CLOBTH_A.TXT
wondering,(VBP are),are,CLOBTH_A.TXT
saying,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
disputing,(VBP am),am,CLOBTH_A.TXT
having,(VBD were),were,CLOBTH_A.TXT
going,(VBN been),been,CLOBTH_A.TXT
considering,(VBN been),been,CLOBTH_A.TXT
considering,(VBZ has),has,CLOBTH_A.TXT
dealing,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
waiting,(VBP are),are,CLOBTH_A.TXT
pressing,(VBN been),been,CLOBTH_A.TXT
looking,(VBZ is),is,CLOBTH_A.TXT
offering,(VBZ is),is,CLOBTH_A.TXT
withdrawing,(VBZ is),is,CLOBTH_A.TXT
doing,(VBZ is),is,CLOBTH_A.TXT
whirling,(VBP are),are,CLOBTH_A.TXT
using,(VBD were),were,CLOBTH_A.TXT
talking,(VBZ is),is,CLOBTH_A.TXT
trying,(VBZ is),is,CLOBTH_A.TXT
trying,(VBZ is),is,CLOBTH_A.TXT
thinking,(VBP am),am,CLOBTH_A.TXT
getting,(VBD were),were,CLOBTH_A.TXT
learning,(VBP are),are,CLOBTH_A.TXT
hoping,(VBP are),are,CLOBTH_A.TXT
winning,(VBD were),were,CLOBTH_A.TXT
being,(VBP are),are,CLOBTH_A.TXT
beginning,(VBD were),were,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
being,(VBG being),being,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
taking,(VBZ is),is,CLOBTH_A.TXT
planning,(VBD were),were,CLOBTH_A.TXT
using,(VBD were),were,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
firing,(VBD were),were,CLOBTH_A.TXT
having,(VBD were),were,CLOBTH_A.TXT
playing,(VBZ is),is,CLOBTH_A.TXT
being,(VBP are),are,CLOBTH_A.TXT
holidaying,(VBZ is),is,CLOBTH_A.TXT
going,(VBZ is),is,CLOBTH_A.TXT
making,(VBD were),were,CLOBTH_A.TXT
passing,(VBZ is),is,CLOBTH_A.TXT
experiencing,(VBZ is),is,CLOBTH_A.TXT
being,(VBD were),were,CLOBTH_A.TXT
using,(VBZ is),is,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
attempting,(VBN been),been,CLOBTH_A.TXT
attempting,(VBZ has),has,CLOBTH_A.TXT
seeking,(VBP are),are,CLOBTH_A.TXT
seeking,(VBP are),are,CLOBTH_A.TXT
being,(VBZ is),is,CLOBTH_A.TXT
preparing,(VBZ is),is,CLOBTH_A.TXT
galloping,(VBD were),were,CLOBTH_A.TXT
working,(VBN been),been,CLOBTH_A.TXT
putting,(VBN been),been,CLOBTH_A.TXT
putting,(VBZ has),has,CLOBTH_A.TXT
moving,(VBN been),been,CLOBTH_A.TXT
moving,(VBZ has),has,CLOBTH_A.TXT
exploding,(VBZ is),is,CLOBTH_A.TXT
happening,(VBZ is),is,CLOBTH_A.TXT
happening,(VBZ is),is,CLOBTH_A.TXT
refereeing,(VBN been),been,CLOBTH_A.TXT
refereeing,(VBZ has),has,CLOBTH_A.TXT
finding,(VBZ is),is,CLOBTH_A.TXT
looking,(VBZ is),is,CLOBTH_A.TXT
waiting,(VBP are),are,CLOBTH_A.TXT
seeing,(VBP are),are,CLOBTH_A.TXT
being,(VBP are),are,CLOBTH_A.TXT
preparing,(VBZ is),is,CLOBTH_A.TXT
having,(VBP 'm),'m,CLOBTH_A.TXT
having,(VBP are),are,CLOBTH_A.TXT
looking,(VBP are),are,CLOBTH_A.TXT
building,(VBP are),are,CLOBTH_A.TXT
wearing,(VBN been),been,CLOBTH_A.TXT
standing,(VBN been),been,CLOBTH_A.TXT
expecting,(VBZ is),is,CLOBTH_A.TXT
wearing,(VBN been),been,CLOBTH_A.TXT
doing,(VBP are),are,CLOBTH_A.TXT
driving,(VBN been),been,CLOBTH_A.TXT
doing,(VBD were),were,CLOBTH_A.TXT
looking,(VBD were),were,CLOBTH_A.TXT
showing,(VBZ is),is,CLOBTH_A.TXT
going,(VBP are),are,CLOBTH_A.TXT
becoming,(VBZ is),is,CLOBTH_A.TXT
making,(VBZ is),is,CLOBTH_A.TXT
staying,(VBZ is),is,CLOBTH_A.TXT
attending,(VBZ is),is,CLOBTH_A.TXT
